,Drug-Gene Pair Cluster,Dependency Path Cluster
1213,23.0,0.0
1214,28.0,28.0
1215,6.0,0.0
1216,2.0,61.0
1217,8.0,0.0
1218,29.0,0.0
1219,9.0,3.0
1220,2.0,0.0
1221,23.0,0.0
1222,29.0,0.0
1223,14.0,0.0
1224,23.0,22.0
1225,2.0,2.0
1226,23.0,94.0
1227,5.0,4.0
1228,7.0,0.0
1229,2.0,0.0
1230,13.0,104.0
1231,0.0,26.0
1232,3.0,0.0
1233,0.0,0.0
1234,23.0,12.0
1235,2.0,0.0
1236,19.0,0.0
1237,26.0,16.0
1238,18.0,111.0
1239,8.0,23.0
1240,18.0,0.0
1241,0.0,23.0
1242,14.0,0.0
1243,28.0,12.0
1244,18.0,0.0
1245,20.0,28.0
1246,23.0,0.0
1247,0.0,0.0
1248,5.0,0.0
1249,4.0,66.0
1250,14.0,76.0
1251,8.0,34.0
1252,29.0,0.0
1253,11.0,53.0
1254,16.0,28.0
1255,2.0,74.0
1256,24.0,60.0
1257,8.0,0.0
1258,26.0,0.0
1259,19.0,0.0
1260,23.0,0.0
1261,2.0,0.0
1262,23.0,14.0
1263,9.0,14.0
1264,26.0,103.0
1265,10.0,0.0
1266,11.0,0.0
1267,23.0,14.0
1268,13.0,14.0
1269,22.0,24.0
1270,15.0,39.0
1271,2.0,0.0
1272,29.0,0.0
1273,3.0,0.0
1274,27.0,0.0
1275,2.0,0.0
1276,2.0,0.0
1277,21.0,0.0
1278,22.0,0.0
1279,21.0,0.0
1280,14.0,0.0
1281,23.0,0.0
1282,24.0,122.0
1283,2.0,0.0
1284,2.0,97.0
1285,14.0,117.0
1286,14.0,0.0
1287,23.0,85.0
1288,9.0,88.0
1289,23.0,0.0
1290,28.0,0.0
1291,26.0,47.0
1292,3.0,4.0
1293,22.0,82.0
1294,19.0,47.0
1295,14.0,98.0
1296,16.0,14.0
1297,8.0,98.0
1298,25.0,51.0
1299,14.0,14.0
1300,6.0,47.0
1301,23.0,98.0
1302,14.0,103.0
1303,17.0,98.0
1304,14.0,42.0
1305,24.0,37.0
1306,0.0,0.0
1307,14.0,0.0
1308,4.0,87.0
1309,18.0,0.0
1310,18.0,0.0
1311,14.0,87.0
1312,23.0,0.0
1313,18.0,0.0
1314,26.0,0.0
1315,18.0,0.0
1316,2.0,0.0
1317,23.0,0.0
1318,20.0,19.0
1319,18.0,56.0
1320,18.0,93.0
1321,23.0,0.0
1322,2.0,1.0
1323,7.0,25.0
1324,23.0,0.0
1325,18.0,11.0
1326,23.0,54.0
1327,2.0,99.0
1328,2.0,0.0
1329,14.0,0.0
1330,23.0,0.0
1331,23.0,0.0
1332,14.0,0.0
1333,14.0,28.0
1334,9.0,44.0
1335,23.0,0.0
1336,18.0,60.0
1337,2.0,60.0
1338,23.0,14.0
1339,2.0,0.0
1340,14.0,4.0
1341,0.0,0.0
1342,23.0,0.0
1343,14.0,0.0
1344,14.0,111.0
1345,15.0,0.0
1346,18.0,89.0
